trajectory_id,date,lon,lat,passenger,speed(km/h)
22223,12:25:29,114.126831,22.574051,1,19
22223,12:26:59,114.124153,22.574183,1,19
22223,12:16:39,114.119865,22.568617,1,62
22223,12:08:43,114.116837,22.550283,1,21
22223,12:30:22,114.108932,22.576283,1,38
22223,12:52:35,114.094185,22.5434,1,69
22223,12:38:04,114.079803,22.572884,1,48
22223,12:52:20,114.092018,22.543333,1,55
22223,12:00:45,114.095398,22.540466,0,3
22223,12:03:29,114.101982,22.54195,1,22
22223,12:30:28,114.108398,22.575968,1,35
22223,12:30:07,114.109497,22.576584,1,6
22223,12:29:55,114.11013,22.5767,1,45
22223,12:18:33,114.122902,22.571083,1,0
22223,12:21:41,114.12365,22.5765,0,35
22223,12:22:25,114.126999,22.575768,0,28
22223,12:40:46,114.067665,22.558216,1,84
22223,12:46:49,114.067902,22.546734,0,45
22223,12:48:19,114.072815,22.54285,0,34
22223,12:48:44,114.075516,22.542933,0,44
22223,12:37:49,114.081467,22.572468,1,40
22223,12:37:42,114.08213,22.572283,1,43
22223,12:47:19,114.068871,22.543034,0,56
22223,12:41:44,114.067764,22.548283,1,82
22223,12:44:19,114.063553,22.547533,0,25
22223,12:25:14,114.12738,22.574533,1,21
22223,12:17:33,114.122353,22.570833,1,25
22223,12:11:51,114.119164,22.559151,1,55
22223,12:08:34,114.116669,22.549351,1,56
22223,12:53:20,114.098953,22.5434,1,0
22223,12:00:00,114.094986,22.541451,0,13
22223,12:44:33,114.064529,22.547518,0,17
22223,12:45:11,114.065681,22.547518,0,3
22223,12:42:29,114.066071,22.543083,1,46
22223,12:47:28,114.068581,22.541933,0,37
22223,12:34:54,114.084702,22.570667,1,29
22223,12:34:32,114.085953,22.568832,1,68
22223,12:52:50,114.097183,22.543432,1,62
22223,12:56:33,114.106087,22.544666,1,20
22223,12:10:43,114.119698,22.555218,1,41
22223,12:19:48,114.121864,22.573967,1,17
22223,12:27:14,114.124115,22.574432,1,0
22223,12:22:11,114.126801,22.576733,0,24
22223,12:23:36,114.128418,22.574932,0,0
22223,12:43:09,114.06282,22.545433,1,17
22223,12:42:14,114.067436,22.543917,1,59
22223,12:40:29,114.06765,22.561399,1,58
22223,12:36:09,114.084549,22.57085,1,0
22223,12:51:19,114.087952,22.543182,0,0
22223,12:51:34,114.08847,22.543217,0,36
