taxi_id,timestamp,lon,lat
T0000,2008-02-02 23:50:00,116.399702,39.900842
T0001,2008-02-02 23:51:00,116.400271,39.900381
T0002,2008-02-02 23:52:00,116.399586,39.900685
T0003,2008-02-02 23:53:00,116.398629,39.901477
T0004,2008-02-02 23:54:00,116.398849,39.901148
T0005,2008-02-02 23:55:00,116.399769,39.900373
T0006,2008-02-02 23:56:00,116.400706,39.900267
T0007,2008-02-02 23:57:00,116.401393,39.900154
T0000,2008-02-02 23:58:00,116.401002,39.900227
T0001,2008-02-02 23:59:00,116.401171,39.899420
T0002,2008-02-02 00:00:00,116.400704,39.900115
T0003,2008-02-02 00:01:00,116.401136,39.900516
T0004,2008-02-02 00:02:00,116.400270,39.901322
T0005,2008-02-02 00:03:00,116.399774,39.902000
T0006,2008-02-02 00:04:00,116.399700,39.901987
T0007,2008-02-02 00:05:00,116.399610,39.902595
T0000,2008-02-02 00:06:00,116.398838,39.901667
T0001,2008-02-02 00:07:00,116.399194,39.901476
T0002,2008-02-02 00:08:00,116.398938,39.901169
T0003,2008-02-02 00:09:00,116.398004,39.901005
T0004,2008-02-03 00:10:00,116.397251,39.900332
T0005,2008-02-03 00:11:00,116.397994,39.900987
T0006,2008-02-03 00:12:00,116.397427,39.899991
T0007,2008-02-03 00:13:00,116.397533,39.900448
T0000,2008-02-03 00:14:00,116.397123,39.901083
T0001,2008-02-03 00:15:00,116.396780,39.900265
T0002,2008-02-03 00:16:00,116.396562,39.899293
T0003,2008-02-03 00:17:00,116.395620,39.898645
T0004,2008-02-03 00:18:00,116.395153,39.898883
T0005,2008-02-03 00:19:00,116.396064,39.899464
T0006,2008-02-03 00:20:00,116.397047,39.899543
T0007,2008-02-03 00:21:00,116.396478,39.898878
T0000,2008-02-03 00:22:00,116.396098,39.899128
T0001,2008-02-03 00:23:00,116.395362,39.899500
T0002,2008-02-03 00:24:00,116.394857,39.899046
T0003,2008-02-03 00:25:00,116.395008,39.899878
T0004,2008-02-03 00:26:00,116.395038,39.899483
T0005,2008-02-03 00:27:00,116.394229,39.899415
T0006,2008-02-03 00:28:00,116.394235,39.899018
T0007,2008-02-03 00:29:00,116.394004,39.898537
