taxi_id,timestamp,lon,lat
T0000,2008-02-02 12:00:00,116.400080,39.899620
T0001,2008-02-02 12:01:00,116.400274,39.899586
T0002,2008-02-02 12:02:00,116.400768,39.899713
T0003,2008-02-02 12:03:00,116.401198,39.899774
T0004,2008-02-02 12:04:00,116.401584,39.899753
T0005,2008-02-02 12:05:00,116.401105,39.900107
T0006,2008-02-02 12:06:00,116.401645,39.900548
T0007,2008-02-02 12:07:00,116.401227,39.900926
T0000,2008-02-02 12:08:00,116.400493,39.900988
T0001,2008-02-02 12:09:00,116.399918,39.900662
T0002,2008-02-02 12:10:00,116.399796,39.899974
T0003,2008-02-02 12:11:00,116.400139,39.900266
T0004,2008-02-02 12:12:00,116.399558,39.900742
T0005,2008-02-02 12:13:00,116.399338,39.901288
T0006,2008-02-02 12:14:00,116.399971,39.900749
T0007,2008-02-02 12:15:00,116.399692,39.900023
T0000,2008-02-02 12:16:00,116.398923,39.899753
T0001,2008-02-02 12:17:00,116.398458,39.900143
T0002,2008-02-02 12:18:00,116.398761,39.900266
T0003,2008-02-02 12:19:00,116.398502,39.899685
T0004,2008-02-02 12:20:00,116.398486,39.898909
T0005,2008-02-02 12:21:00,116.397832,39.899145
T0006,2008-02-02 12:22:00,116.397952,39.899089
T0007,2008-02-02 12:23:00,116.398416,39.898327
T0000,2008-02-02 12:24:00,116.398483,39.898264
T0001,2008-02-02 12:25:00,116.397938,39.897750
T0002,2008-02-02 12:26:00,116.397477,39.898020
T0003,2008-02-02 12:27:00,116.397098,39.898775
T0004,2008-02-02 12:28:00,116.397018,39.898111
T0005,2008-02-02 12:29:00,116.397387,39.897992
T0006,2008-02-02 12:30:00,116.397582,39.898232
T0007,2008-02-02 12:31:00,116.397546,39.898700
T0000,2008-02-02 12:32:00,116.397221,39.897987
T0001,2008-02-02 12:33:00,116.397433,39.898232
T0002,2008-02-02 12:34:00,116.397218,39.898208
T0003,2008-02-02 12:35:00,116.396820,39.897472
T0004,2008-02-02 12:36:00,116.396847,39.896877
T0005,2008-02-02 12:37:00,116.397464,39.896298
T0006,2008-02-02 12:38:00,116.397442,39.896372
T0007,2008-02-02 12:39:00,116.397879,39.896096
