taxi_id,timestamp,lon,lat
T0000,2008-02-02 12:00:00,116.400581,39.899762
T0001,2008-02-02 12:01:00,116.400089,39.899705
T0002,2008-02-02 12:02:00,116.400574,39.900477
T0003,2008-02-02 12:03:00,116.399989,39.899795
T0004,2008-02-02 12:04:00,116.400558,39.900144
T0005,2008-02-02 12:05:00,116.400697,39.900854
T0006,2008-02-02 12:06:00,116.401095,39.901451
T0007,2008-02-02 12:07:00,116.401637,39.900890
T0007,2008-02-02 12:07:00,116.401637,39.900890
T0007,2008-02-02 12:07:00,116.401637,39.900890
T0007,2008-02-02 12:07:00,116.401637,39.900890
T0003,2008-02-02 12:11:00,116.401912,39.901440
T0004,2008-02-02 12:12:00,116.402031,39.901988
T0005,2008-02-02 12:13:00,116.401536,39.901236
T0006,2008-02-02 12:14:00,116.401321,39.900876
T0007,2008-02-02 12:15:00,116.401002,39.900859
T0000,2008-02-02 12:16:00,116.400861,39.901222
T0001,2008-02-02 12:17:00,116.400465,39.901191
T0002,2008-02-02 12:18:00,116.400672,39.901804
T0003,2008-02-02 12:19:00,116.400504,39.901885
T0003,2008-02-02 12:19:00,116.400504,39.901885
T0003,2008-02-02 12:19:00,116.400504,39.901885
T0006,2008-02-02 12:22:00,116.401995,39.902078
T0007,2008-02-02 12:23:00,116.402572,39.902201
T0000,2008-02-02 12:24:00,116.402904,39.901531
T0001,2008-02-02 12:25:00,116.403643,39.901576
T0002,2008-02-02 12:26:00,116.403374,39.901659
T0003,2008-02-02 12:27:00,116.404050,39.901052
T0004,2008-02-02 12:28:00,116.403353,39.900649
T0005,2008-02-02 12:29:00,116.403662,39.901391
T0006,2008-02-02 12:30:00,116.403299,39.901854
T0007,2008-02-02 12:31:00,116.403657,39.901589
T0000,2008-02-02 12:32:00,116.403044,39.901996
T0001,2008-02-02 12:33:00,116.403219,39.902268
T0002,2008-02-02 12:34:00,116.403928,39.902243
T0003,2008-02-02 12:35:00,116.404431,39.901995
T0004,2008-02-02 12:36:00,116.404274,39.901928
T0005,2008-02-02 12:37:00,116.404460,39.902367
T0006,2008-02-02 12:38:00,116.404403,39.903076
T0007,2008-02-02 12:39:00,116.404535,39.903325
