order_id,driver_id,ts,lon,lat,speed_kmh,order_status
,DRV0041,2026-05-18 07:00:00,120.305133,31.568365,12.4,0
,DRV0041,2026-05-18 07:00:20,120.305074,31.569254,22.5,0
,DRV0041,2026-05-18 07:00:40,120.305117,31.570067,30.2,0
,DRV0041,2026-05-18 07:01:00,120.303909,31.570032,20.6,0
,DRV0041,2026-05-18 07:01:20,120.302927,31.570078,5.9,0
ORD20260518000,DRV0041,2026-05-18 07:01:40,120.302895,31.569277,9.7,1
ORD20260518000,DRV0041,2026-05-18 07:02:00,120.301881,31.569245,16.4,1
ORD20260518000,DRV0041,2026-05-18 07:02:20,120.300745,31.569245,31.2,1
ORD20260518000,DRV0041,2026-05-18 07:02:40,120.299676,31.569270,44.4,1
ORD20260518000,DRV0041,2026-05-18 07:03:00,120.298528,31.569176,25.0,1
ORD20260518000,DRV0041,2026-05-18 07:03:20,120.298544,31.570024,42.4,1
ORD20260518000,DRV0041,2026-05-18 07:03:40,120.299682,31.570084,16.8,1
ORD20260518000,DRV0041,2026-05-18 07:04:00,120.298628,31.570110,47.1,2
ORD20260518000,DRV0041,2026-05-18 07:04:20,120.297453,31.570050,3.5,2
ORD20260518000,DRV0041,2026-05-18 07:04:40,120.296403,31.570127,37.9,2
ORD20260518000,DRV0041,2026-05-18 07:05:00,120.295333,31.570060,33.2,2
ORD20260518000,DRV0041,2026-05-18 07:05:20,120.295251,31.570959,26.0,2
ORD20260518000,DRV0041,2026-05-18 07:05:40,120.295215,31.571739,20.9,2
ORD20260518000,DRV0041,2026-05-18 07:06:00,120.295237,31.572689,29.4,2
ORD20260518000,DRV0041,2026-05-18 07:06:20,120.295256,31.573495,27.4,2
ORD20260518000,DRV0041,2026-05-18 07:06:40,120.295241,31.574306,34.1,2
ORD20260518000,DRV0041,2026-05-18 07:07:00,120.294228,31.574422,16.4,2
ORD20260518000,DRV0041,2026-05-18 07:07:20,120.293044,31.574382,11.2,2
ORD20260518000,DRV0041,2026-05-18 07:07:40,120.291921,31.574442,8.6,2
,DRV0041,2026-05-18 07:08:00,120.291880,31.573518,39.2,3
,DRV0041,2026-05-18 07:08:20,120.291919,31.572681,17.4,3
,DRV0041,2026-05-18 07:08:40,120.291962,31.571853,45.9,3
,DRV0041,2026-05-18 07:09:00,120.291903,31.571006,8.1,3
,DRV0042,2026-05-18 07:12:00,120.296134,31.565465,19.2,0
,DRV0042,2026-05-18 07:12:20,120.296186,31.566321,27.3,0
,DRV0042,2026-05-18 07:12:40,120.296130,31.567102,32.5,0
,DRV0042,2026-05-18 07:13:00,120.296146,31.568063,11.0,0
,DRV0042,2026-05-18 07:13:20,120.296111,31.568848,5.6,0
ORD20260518001,DRV0042,2026-05-18 07:13:40,120.294942,31.568912,44.0,1
ORD20260518001,DRV0042,2026-05-18 07:14:00,120.293973,31.568902,37.4,1
ORD20260518001,DRV0042,2026-05-18 07:14:20,120.292859,31.568891,16.6,1
ORD20260518001,DRV0042,2026-05-18 07:14:40,120.291738,31.568855,14.4,1
ORD20260518001,DRV0042,2026-05-18 07:15:00,120.290600,31.568848,16.0,1
ORD20260518001,DRV0042,2026-05-18 07:15:20,120.289551,31.568894,43.6,1
ORD20260518001,DRV0042,2026-05-18 07:15:40,120.288376,31.568851,47.7,1
ORD20260518001,DRV0042,2026-05-18 07:16:00,120.287285,31.568853,30.7,2
ORD20260518001,DRV0042,2026-05-18 07:16:20,120.286170,31.568811,33.0,2
ORD20260518001,DRV0042,2026-05-18 07:16:40,120.286156,31.568000,37.6,2
ORD20260518001,DRV0042,2026-05-18 07:17:00,120.286214,31.567199,11.8,2
ORD20260518001,DRV0042,2026-05-18 07:17:20,120.286178,31.566256,19.6,2
ORD20260518001,DRV0042,2026-05-18 07:17:40,120.286184,31.565460,32.5,2
ORD20260518001,DRV0042,2026-05-18 07:18:00,120.286160,31.564499,0.6,2
ORD20260518001,DRV0042,2026-05-18 07:18:20,120.286131,31.563650,17.5,2
ORD20260518001,DRV0042,2026-05-18 07:18:40,120.286212,31.562852,44.5,2
ORD20260518001,DRV0042,2026-05-18 07:19:00,120.286135,31.562041,27.0,2
ORD20260518001,DRV0042,2026-05-18 07:19:20,120.286183,31.561107,19.5,2
ORD20260518001,DRV0042,2026-05-18 07:19:40,120.287329,31.561093,40.6,2
,DRV0042,2026-05-18 07:20:00,120.288406,31.561097,33.2,3
,DRV0042,2026-05-18 07:20:20,120.289537,31.561117,22.3,3
,DRV0042,2026-05-18 07:20:40,120.289556,31.560183,29.6,3
,DRV0042,2026-05-18 07:21:00,120.290586,31.560248,7.3,3
