mmsi,ts,lon,lat,sog_kn,cog_deg,nav_status,draught_m
412346402,2026-05-18 07:00:00,121.964963,30.852805,14.6,250,under_way,4.7
412346402,2026-05-18 07:06:00,122.012233,30.843963,12.1,95,under_way,7.8
412346402,2026-05-18 07:12:00,122.037214,30.860706,9.5,290,under_way,12.2
412346402,2026-05-18 07:18:00,122.080193,30.841382,11.5,240,under_way,7.8
412346402,2026-05-18 07:28:00,122.113107,30.841328,7.8,215,under_way,12.4
412346402,2026-05-18 07:31:00,122.134308,30.846619,14.1,200,under_way,5.7
412346402,2026-05-18 07:33:00,122.159547,30.848116,7.4,75,under_way,10.6
412346402,2026-05-18 07:39:00,122.209151,30.843598,13.2,345,under_way,5.7
412346402,2026-05-18 07:42:00,122.231816,30.861302,11.5,75,under_way,10.2
412346402,2026-05-18 07:44:00,122.277377,30.845105,12.1,130,under_way,10.3
412346402,2026-05-18 07:46:00,122.325726,30.833392,13.3,325,under_way,11.6
412346402,2026-05-18 07:52:00,122.325726,30.833392,0.0,280,moored,8.3
412346402,2026-05-18 07:54:00,122.325726,30.833392,0.0,55,moored,9.2
412346402,2026-05-18 07:56:00,122.325726,30.833392,0.0,10,moored,11.1
418308039,2026-05-18 07:20:00,121.991428,31.076322,8.1,150,under_way,8.3
418308039,2026-05-18 07:22:00,122.013411,31.080577,14.0,215,under_way,7.0
418308039,2026-05-18 07:25:00,122.051410,31.079225,13.6,295,under_way,8.8
418308039,2026-05-18 07:35:00,122.091447,31.085919,11.0,15,under_way,10.4
418308039,2026-05-18 07:41:00,122.138454,31.077416,7.6,345,under_way,6.7
418308039,2026-05-18 07:43:00,122.168801,31.073645,6.5,225,under_way,8.8
418308039,2026-05-18 07:46:00,122.195823,31.059118,10.8,355,under_way,10.4
418308039,2026-05-18 07:52:00,122.242648,31.045796,14.3,15,under_way,6.4
418308039,2026-05-18 07:54:00,122.263309,31.058774,10.1,160,under_way,10.2
418308039,2026-05-18 08:00:00,122.294550,31.069502,13.2,95,under_way,11.7
418308039,2026-05-18 08:10:00,122.334885,31.080834,8.8,230,under_way,4.8
418308039,2026-05-18 08:16:00,122.334885,31.080834,0.0,185,moored,10.9
418308039,2026-05-18 08:18:00,122.334885,31.080834,0.0,270,moored,9.9
418308039,2026-05-18 08:21:00,122.334885,31.080834,0.0,185,moored,9.2
415709649,2026-05-18 07:40:00,121.609062,30.863053,13.9,30,under_way,12.6
415709649,2026-05-18 07:50:00,121.656329,30.852880,10.5,320,under_way,7.4
415709649,2026-05-18 08:00:00,121.701522,30.840857,12.6,15,under_way,10.6
415709649,2026-05-18 08:10:00,121.735089,30.847973,7.4,235,under_way,4.9
415709649,2026-05-18 08:16:00,121.762967,30.830085,8.7,190,under_way,7.1
415709649,2026-05-18 08:19:00,121.807489,30.836449,9.9,95,under_way,5.5
415709649,2026-05-18 08:21:00,121.850851,30.836308,8.3,105,under_way,10.8
415709649,2026-05-18 08:31:00,121.887321,30.855481,6.8,300,under_way,6.7
415709649,2026-05-18 08:33:00,121.931298,30.839376,9.6,25,under_way,8.1
415709649,2026-05-18 08:36:00,121.953011,30.832699,13.0,315,under_way,10.4
415709649,2026-05-18 08:42:00,121.976316,30.837898,8.2,230,under_way,7.5
415709649,2026-05-18 08:44:00,121.976316,30.837898,0.0,235,moored,8.0
415709649,2026-05-18 08:54:00,121.976316,30.837898,0.0,350,moored,9.9
415709649,2026-05-18 08:57:00,121.976316,30.837898,0.0,20,moored,6.4
